node_id,longitude,latitude,zone_id,borough
152,-74.01007,40.720755,230,Manhattan
153,-74.01004,40.734543,157,Manhattan
154,-74.010023,40.725262,124,Manhattan
155,-74.010023,40.739323,157,Manhattan
156,-74.009991,40.717377,230,Manhattan
157,-74.009988,40.709806,260,Manhattan
158,-74.009984,40.705148,86,Manhattan
159,-74.009984,40.701827,87,Manhattan
160,-74.009971,40.735291,157,Manhattan
161,-74.00992,40.735974,157,Manhattan
162,-74.009919,40.721463,230,Manhattan
163,-74.009911,40.738705,157,Manhattan
164,-74.009907,40.726073,124,Manhattan
165,-74.009869,40.73245,157,Manhattan
166,-74.009866,40.705797,86,Manhattan
167,-74.009851,40.739297,157,Manhattan
168,-74.009834,40.736949,157,Manhattan
169,-74.009829,40.708117,86,Manhattan
170,-74.009808,40.737554,157,Manhattan
171,-74.0098,40.733204,157,Manhattan
172,-74.009771,40.722121,230,Manhattan
173,-74.009745,40.702143,87,Manhattan
174,-74.009701,40.724966,230,Manhattan
175,-74.009687,40.739371,157,Manhattan
176,-74.009681,40.714946,230,Manhattan
177,-74.009668,40.712725,230,Manhattan
178,-74.009654,40.722785,230,Manhattan
179,-74.009635,40.717333,230,Manhattan
180,-74.009625,40.740068,157,Manhattan
181,-74.009543,40.710327,86,Manhattan
182,-74.009535,40.723433,230,Manhattan
183,-74.009502,40.706379,86,Manhattan
184,-74.009494,40.717995,230,Manhattan
185,-74.009474,40.710413,260,Manhattan
186,-74.009462,40.704545,86,Manhattan
187,-74.009425,40.724088,230,Manhattan
188,-74.009371,40.708614,86,Manhattan
189,-74.00935,40.728981,124,Manhattan
190,-74.00933,40.718692,230,Manhattan
191,-74.009317,40.724702,124,Manhattan
192,-74.009254,40.702103,87,Manhattan
193,-74.009254,40.713256,230,Manhattan
194,-74.009239,40.71552,230,Manhattan
195,-74.009228,40.702266,87,Manhattan
196,-74.009208,40.729705,157,Manhattan
197,-74.009205,40.716188,230,Manhattan
198,-74.009115,40.71692,230,Manhattan
199,-74.009094,40.725989,124,Manhattan
200,-74.00907,40.730434,157,Manhattan
201,-74.009067,40.705543,86,Manhattan
202,-74.009064,40.717265,230,Manhattan
203,-74.009063,40.710887,260,Manhattan
204,-74.009029,40.70531,86,Manhattan
205,-74.009,40.717598,230,Manhattan
206,-74.008996,40.706953,86,Manhattan
207,-74.008986,40.704079,87,Manhattan
208,-74.008967,40.740715,157,Manhattan
209,-74.008967,40.726746,124,Manhattan
210,-74.008943,40.717925,230,Manhattan
211,-74.008925,40.731153,157,Manhattan
212,-74.008893,40.709044,86,Manhattan
213,-74.00888,40.718274,230,Manhattan
214,-74.008878,40.70486,86,Manhattan
215,-74.008845,40.72747,124,Manhattan
216,-74.008832,40.713796,230,Manhattan
217,-74.008823,40.716014,230,Manhattan
218,-74.008819,40.718642,230,Manhattan
219,-74.008813,40.706012,86,Manhattan
220,-74.008789,40.704211,86,Manhattan
221,-74.008784,40.731873,157,Manhattan
222,-74.008747,40.719029,230,Manhattan
223,-74.008725,40.743206,245,Manhattan
224,-74.008724,40.728195,124,Manhattan
225,-74.008716,40.741474,157,Manhattan
226,-74.008699,40.719296,230,Manhattan
227,-74.008658,40.711388,260,Manhattan
228,-74.008645,40.70734,86,Manhattan
229,-74.008644,40.724222,124,Manhattan
230,-74.008634,40.732643,157,Manhattan
231,-74.008594,40.72891,124,Manhattan
232,-74.008584,40.719952,230,Manhattan
233,-74.008564,40.744043,245,Manhattan
234,-74.008554,40.733401,157,Manhattan
235,-74.008537,40.743169,245,Manhattan
236,-74.008491,40.734094,157,Manhattan
237,-74.008478,40.750326,245,Manhattan
238,-74.00847,40.72061,230,Manhattan
239,-74.008436,40.734791,157,Manhattan
240,-74.008418,40.744757,245,Manhattan
241,-74.008418,40.70953,86,Manhattan
242,-74.0084,40.72963,157,Manhattan
243,-74.008387,40.714362,230,Manhattan
244,-74.008383,40.74394,245,Manhattan
245,-74.008378,40.716587,230,Manhattan
246,-74.00837,40.735506,157,Manhattan
247,-74.008349,40.725915,124,Manhattan
