ReqID,Oid,Did,ReqTime,Size
1,1136,2025,0,1
3,1700,1957,0,1
4,2368,1386,1,1
5,605,1299,1,1
6,420,2025,1,1
7,1680,1107,2,1
8,1704,1478,2,1
10,1523,1453,3,1
11,226,129,3,3
12,2922,2257,3,1
13,152,2007,3,1
14,1957,2388,4,1
16,2443,2203,4,2
17,973,2048,4,1
18,1818,2115,5,1
19,1648,1077,5,2
21,1825,455,5,1
22,1704,1059,5,2
23,1007,1303,6,1
24,408,969,6,1
25,1421,3942,7,1
26,2041,1978,7,1
27,2018,2362,8,1
28,2055,1187,8,1
30,817,772,9,2
32,294,1368,9,1
33,1055,857,9,1
34,2872,2482,9,1
36,2017,1386,11,1
37,1188,2718,12,3
39,1810,791,13,1
40,560,986,14,1
42,1757,2230,14,1
44,1534,2350,15,1
45,1648,2232,15,1
46,2393,2049,15,1
47,1486,566,15,1
48,2166,731,15,1
50,303,1064,16,1
51,1135,3942,17,1
52,2196,859,17,1
53,2465,2239,17,1
54,2131,1839,17,1
56,1287,2107,17,1
57,3196,2751,17,1
58,1187,1999,18,1
59,3028,2041,18,1
60,1668,2055,18,1
62,575,325,19,2
65,1966,2337,20,1
66,486,1410,20,1
68,1349,1784,21,1
70,447,275,21,1
71,811,970,21,1
72,311,988,22,1
73,172,1402,22,1
74,2726,1862,23,1
75,2437,275,23,1
76,409,610,23,1
78,624,1299,23,1
79,1101,817,23,1
80,1292,566,24,2
81,2676,2416,24,1
82,515,1648,25,3
83,2106,1004,25,2
84,1486,3942,25,1
85,2659,3492,25,1
86,1550,1704,26,1
88,1283,1260,26,1
90,2510,2521,27,3
91,591,985,27,1
92,1489,2833,27,1
93,952,1049,29,1
94,1208,1716,29,1
95,3001,2233,29,1
96,3003,2544,30,1
97,2625,2365,30,3
100,2054,2753,32,1
101,2756,2083,32,1
103,862,277,34,1
105,2769,3942,34,1
107,2432,3155,35,1
108,1601,2321,35,1
110,1818,2311,36,1
111,1397,2705,36,1
112,276,1654,36,1
113,2394,2274,36,1
114,1765,2065,37,1
115,817,915,37,1
116,1636,1364,38,1
117,3052,1872,38,1
118,1219,2310,38,1
119,738,1229,38,1
120,2000,1107,38,3
122,2894,3196,39,1
123,1966,1191,39,1
124,1439,921,39,1
125,2438,2831,39,2
128,2520,1684,42,1
130,1905,1154,43,1
132,2448,1711,43,1
133,145,1284,43,1
134,1983,1542,43,1
135,2155,2512,44,1
136,2078,1474,44,1
137,1257,1388,44,1
138,1397,249,44,2
139,1949,2853,45,1
140,957,526,45,1
141,2596,1817,45,1
142,1052,625,45,1
143,1911,1682,45,1
144,2206,1094,45,1
146,649,1999,46,1
147,1422,55,46,1
148,101,3113,46,1
149,2791,1840,46,1
150,283,2206,47,1
151,1386,1627,48,1
152,2193,707,48,1
153,1081,1369,48,1
154,2655,862,48,2
155,1724,1336,48,1
157,983,507,49,1
158,2166,1649,49,1
159,2753,1145,49,1
160,2159,192,49,1
162,1565,471,51,1
163,3001,2600,51,2
164,2715,2249,51,2
165,952,1722,51,1
166,2260,308,52,3
167,41,1629,52,1
168,932,1943,52,1
170,2705,2118,53,1
171,1862,2305,53,2
172,2872,1093,54,1
173,1940,1501,54,1
174,1980,159,55,1
175,1678,1217,55,1
176,2501,2636,56,1
178,1929,2543,57,1
179,1181,628,57,1
180,2791,2355,57,2
181,2355,2878,57,1
182,2078,3942,58,1
183,1124,1395,59,1
184,2895,2104,59,1
185,1638,2197,59,1
186,658,682,59,1
187,283,1187,59,1
188,2465,2053,60,1
189,1541,2038,60,1
190,1635,2176,60,1
191,1145,966,60,1
193,2040,2501,61,1
194,1700,1565,62,1
195,1718,1643,62,1
196,970,134,62,1
198,1900,2195,63,1
199,2060,2447,64,1
200,308,1629,64,1
201,2287,1811,65,3
202,1081,2152,65,1
203,1849,2381,65,1
204,172,86,66,1
205,2517,2979,66,1
207,1911,1097,66,1
208,1081,33,67,1
209,2760,2635,67,2
210,2225,1058,67,1
211,3217,2398,67,1
212,958,147,68,1
214,2333,3121,69,1
215,2364,1346,69,2
217,1576,2880,70,1
218,1900,1043,70,1
220,2811,2049,72,1
221,1121,1422,72,1
223,2723,2435,73,1
224,1060,1043,73,1
225,1463,774,74,2
226,3328,2840,74,1
227,2213,159,74,1
228,1796,2852,75,1
229,1862,1670,75,1
230,2186,493,75,1
232,1165,1524,75,1
233,2542,2923,76,1
234,441,3942,76,1
235,1558,1518,76,1
236,1208,1525,76,1
237,2733,3942,77,1
238,726,481,77,1
239,2331,1107,77,1
240,636,1801,77,1
242,1587,2195,78,1
243,1334,1978,78,1
244,1174,969,78,2
245,2063,1669,78,3
249,2424,2379,79,1
250,1668,996,80,1
251,3070,1465,81,2
252,1529,1030,81,1
253,1637,921,81,1
254,2388,1388,81,3
256,1889,3042,82,1
257,1782,1648,82,1
258,1447,2000,82,1
259,1698,1157,82,1
260,1499,1745,83,1
262,1349,1283,84,1
265,85,922,84,1
266,2703,2777,84,1
269,1173,575,85,1
271,967,908,85,1
272,1990,2532,86,2
274,1770,1598,86,1
275,1693,887,86,1
277,1359,957,87,1
279,817,851,87,2
280,1217,510,88,1
281,884,620,88,1
282,1983,1579,89,1
283,1366,1506,89,1
284,791,1432,89,3
286,2032,72,89,1
288,1001,1859,90,1
289,1999,1771,90,1
293,1136,3942,92,3
294,1283,1679,93,1
295,2232,2398,93,1
296,2947,1304,94,1
297,2184,2280,94,2
298,1881,2188,95,2
299,973,852,95,1
300,2257,3942,95,1
301,1700,1999,96,1
303,1598,1018,97,1
304,1091,1045,97,1
305,1245,1349,97,2
306,663,1398,98,1
308,2464,1043,98,1
309,1848,1811,98,1
310,2497,2768,98,1
311,2642,1265,99,2
312,3306,2962,100,2
314,2774,2157,101,1
316,1990,2937,102,1
317,2411,1227,102,1
318,2003,1840,102,1
319,1819,2159,103,1
320,873,369,103,1
321,1356,1964,103,1
322,952,1899,103,3
323,1610,1654,103,2
324,2465,1819,104,1
325,3084,2629,104,1
326,308,546,104,1
327,408,738,104,1
328,2523,1059,104,1
330,1679,1923,106,1
331,1952,1371,106,1
333,2025,1333,107,1
334,3001,1709,107,1
335,987,988,108,1
336,1397,1889,108,3
337,863,1288,108,1
338,1285,1816,108,1
339,1578,1818,108,1
340,2539,1010,108,2
341,1923,2274,108,1
343,1743,958,110,2
345,952,1710,110,1
346,2785,2351,110,1
349,1818,2494,112,1
351,782,283,113,1
353,808,1268,113,3
354,1867,2428,113,1
355,1769,1107,114,1
358,1685,1644,116,1
359,2822,2458,116,1
360,868,943,116,1
361,126,2389,116,1
362,1081,1653,116,1
363,1655,1277,117,1
364,266,268,117,1
365,1970,2636,117,1
366,380,218,118,2
368,1449,370,118,1
371,898,1980,119,1
372,1124,2555,119,1
373,2118,2393,119,1
375,1995,158,120,1
376,1081,1285,120,1
377,2789,1247,120,1
378,1265,1402,121,1
379,802,1142,121,1
380,1655,2097,122,2
381,147,475,123,1
382,52,72,123,1
384,796,1146,123,1
385,2039,2624,123,1
386,2791,3084,124,1
387,2801,1303,124,1
388,1310,1919,124,1
389,1098,736,124,2
390,1427,1135,124,1
391,2345,1527,125,1
392,2664,2943,125,1
393,1219,1747,125,1
395,558,332,125,1
396,1791,1439,126,1
397,2254,2388,126,1
398,2138,1036,126,1
399,608,980,126,1
400,782,2530,126,1
401,1368,1840,127,1
402,1176,1710,127,1
404,851,2177,127,1
405,408,1333,128,3
406,1266,1049,128,3
407,2560,3044,128,1
408,1675,1818,128,1
409,2083,1839,128,1
411,355,1196,128,1
412,1166,1612,129,1
413,1284,2809,129,2
414,72,1097,130,2
415,730,1626,130,1
416,789,855,131,2
417,2127,2097,131,1
418,135,1957,131,1
419,2333,3778,131,1
421,1954,3942,131,1
422,2232,1423,132,1
423,2437,2900,132,3
424,2386,2052,133,1
425,2811,2280,133,1
426,1594,2640,133,3
428,1393,1132,134,1
429,823,671,134,1
430,877,1874,134,1
431,1308,2576,135,1
432,892,958,135,1
433,1372,1436,135,1
434,2537,1322,136,1
436,938,1779,136,1
437,1081,2491,137,1
439,2506,2301,139,1
440,2672,2944,140,1
441,677,996,141,1
442,1206,1471,141,1
443,1531,2230,142,1
445,1451,4090,143,1
447,2176,2769,143,1
