ReqID,Oid,Did,ReqTime,Size
1,2009,1257,0,1
2,2235,2497,0,1
3,2060,3811,0,1
4,2192,2661,0,5
5,1833,1245,0,1
6,328,805,0,1
7,817,1725,0,1
8,2491,1018,1,1
9,3110,2420,1,1
10,1501,1334,1,1
11,1969,446,3,1
12,644,1086,3,1
13,611,3942,4,1
14,1299,2511,4,2
15,566,3942,5,5
16,72,1810,5,1
17,2772,1889,5,1
18,373,222,5,1
19,2789,2684,6,2
20,1131,856,6,1
21,126,1284,7,1
22,1627,3942,7,5
23,670,1678,7,3
24,1064,1422,7,1
25,2195,2625,8,1
26,2025,2848,8,2
27,1260,1582,8,1
28,2232,1811,9,1
29,1206,2022,9,1
30,1792,2467,11,1
31,3052,2426,11,1
32,1763,1999,11,2
33,1665,1934,11,1
34,2990,1682,11,1
35,685,196,12,6
36,1274,1952,13,2
37,2866,2792,13,1
38,2230,2046,14,2
39,2590,1949,14,1
40,2110,1635,15,1
41,1649,2064,15,6
42,1326,765,16,1
43,1043,1293,17,1
44,1525,3942,17,1
45,1997,2655,17,1
46,2177,1862,17,2
47,1596,620,18,1
48,2561,2706,18,1
49,2176,1803,18,2
50,978,617,19,1
51,2289,2848,19,1
52,1194,663,19,1
53,914,1218,20,1
54,2848,2201,20,1
55,1773,1750,21,1
56,1653,781,21,1
57,1142,2053,21,6
58,2478,1757,21,1
59,1868,1761,21,1
60,2705,1675,22,1
61,2948,3104,24,1
62,2069,2539,24,1
63,2379,2232,24,1
64,2429,2218,24,1
65,2613,2552,25,1
66,2019,1862,25,1
67,2848,2176,25,1
68,220,1272,26,1
69,726,570,26,1
70,1566,1410,27,1
71,1203,1757,27,1
72,636,1115,27,6
73,2432,2922,27,5
74,1759,881,27,1
75,1475,734,27,1
76,216,2137,28,3
77,1874,1043,29,1
78,2176,2520,30,1
79,1101,1679,30,1
80,370,28,31,1
81,985,1208,31,1
82,880,1219,31,1
83,1539,504,31,1
84,2736,2483,31,2
85,2139,2124,31,5
86,1246,1431,31,5
87,2137,933,31,1
88,1283,1768,32,1
89,670,608,34,1
90,1409,1670,34,1
91,1427,2104,34,6
92,1759,2969,35,1
93,268,892,36,1
94,317,746,36,6
95,2330,1724,36,1
96,2064,2564,36,1
97,2014,1427,36,1
98,2706,2895,36,1
99,1081,2748,37,1
100,1791,1100,38,1
101,3052,3130,38,1
102,1636,1614,38,1
103,1165,1717,38,1
104,2409,2530,39,2
105,2104,2451,39,1
106,859,61,39,1
107,1286,1029,39,1
108,843,2151,40,1
109,2321,2112,40,2
110,3021,1724,41,1
111,1813,159,41,6
112,2919,2548,41,1
113,958,2125,41,1
114,2520,2659,42,1
115,2451,2405,42,1
116,2093,1023,43,1
117,2624,2052,43,2
118,1056,1135,43,1
119,516,1735,43,1
120,632,2165,44,1
121,952,1489,44,1
122,2726,1371,44,3
123,1607,1663,45,1
124,2682,2124,45,2
125,2926,2840,45,1
126,1208,1284,46,1
127,2590,1257,46,1
128,1668,2192,46,1
129,2979,3246,46,1
130,2518,1690,46,2
131,1234,2433,46,1
132,1208,836,47,1
133,2706,2900,48,1
134,670,1745,48,1
135,2702,1995,48,1
136,1058,1839,49,1
137,2201,2887,49,1
138,189,398,49,1
139,880,2568,49,1
140,1840,686,49,1
141,1726,1380,50,1
142,1333,252,50,1
143,1557,2173,51,5
144,1174,1229,51,2
145,671,1247,51,1
146,2491,1178,51,1
147,932,617,51,1
148,1910,2244,51,5
149,1486,2370,52,1
150,2816,1315,52,5
151,707,1299,53,1
152,952,1704,53,1
153,2864,419,53,1
154,2597,3276,53,1
155,1713,1666,54,1
156,1679,628,54,4
157,1101,2077,54,6
158,1013,1146,54,1
159,2443,368,54,1
160,1514,2088,55,1
161,1023,1569,56,6
162,2741,1831,56,1
163,2831,2705,56,1
164,1626,915,56,1
165,1185,1892,57,1
166,1760,2162,57,1
167,2078,1608,57,1
168,853,973,58,1
169,1910,1240,58,3
170,7,1681,59,1
171,1524,1450,59,1
172,266,1489,59,1
173,880,892,61,1
174,482,58,61,2
175,135,1769,61,1
176,938,635,61,1
177,2372,2364,61,1
178,2947,2357,61,1
179,1552,1811,61,2
180,2768,1622,61,1
181,2792,817,61,1
182,3011,2201,62,1
183,1622,3942,62,1
184,2152,1769,62,1
185,267,192,63,1
186,2273,2285,63,3
187,2542,1197,64,1
188,2325,2696,65,2
189,1130,910,65,1
190,1911,1872,66,1
191,2359,1999,66,1
192,1326,1463,66,1
193,2106,1081,66,1
194,1101,1625,67,1
195,480,760,67,1
196,1232,883,67,1
197,1839,963,67,1
198,2730,2730,67,2
199,1463,1058,68,4
200,1563,2432,69,1
201,1059,2019,69,2
202,1862,2201,69,1
203,1043,315,70,3
204,1808,1722,70,1
205,1723,1925,70,1
206,1999,734,70,1
207,3268,2640,71,1
208,1307,1285,71,1
209,2367,1059,71,1
210,2840,1371,71,1
211,2249,2656,71,1
212,1082,1121,71,1
213,774,1487,71,1
214,2790,2882,72,2
215,2274,1978,72,1
216,1283,623,72,3
217,952,1363,73,1
218,1872,1555,73,1
219,2590,3134,73,1
220,2423,3328,74,2
221,1566,2993,74,1
222,1881,1806,74,1
223,2754,339,74,5
224,1008,376,74,1
225,2330,1489,75,2
226,2026,1424,75,5
227,481,1779,75,1
228,1388,1261,76,1
229,1556,1811,77,1
230,2267,1862,77,1
231,1774,1107,77,1
232,2372,1700,78,2
233,2445,2516,79,5
234,409,1397,79,1
235,663,1101,80,1
236,1627,1281,81,1
237,735,748,81,1
238,1030,669,81,1
239,2232,1670,81,1
240,2125,2481,82,3
241,303,242,83,1
242,2590,1676,83,2
243,487,1704,83,1
244,2200,1954,84,1
245,1827,2754,84,1
246,1878,2373,84,5
247,306,148,84,2
248,2484,1717,84,2
249,2432,2159,86,1
250,1807,2691,87,1
251,1439,901,87,1
252,869,3942,88,1
253,324,2633,88,1
254,2690,2882,88,1
255,2843,2311,89,1
256,3066,2777,89,1
257,2538,2867,89,1
258,398,1612,91,3
259,952,1622,91,2
260,2995,3942,92,5
261,1892,2739,93,1
262,2636,2706,93,1
263,653,892,94,1
264,836,1710,95,6
265,2942,3008,96,1
266,344,774,96,1
