ReqID,Oid,Did,ReqTime,Size
1,1218,1722,0,1
2,1339,2342,0,1
3,1747,1349,0,2
4,1023,159,0,5
5,2840,1792,0,1
6,2398,1862,0,2
7,387,1601,1,1
8,2655,2447,1,1
9,2483,2409,1,1
10,471,512,1,3
11,1232,892,1,1
12,3021,2311,1,6
13,1181,1333,2,1
14,2715,2439,2,1
15,1098,433,2,5
16,1908,1348,2,2
17,2413,1596,3,1
18,1196,746,3,1
19,1212,2198,3,1
20,2098,1515,3,5
21,1791,836,3,5
22,2769,2372,4,2
23,1555,192,4,1
24,2978,2026,5,1
25,1232,3942,5,5
26,948,679,5,1
27,2863,2429,5,1
28,1089,342,5,1
29,665,665,6,5
30,2752,1303,6,1
31,1332,785,6,1
32,821,1255,6,1
33,1867,1349,7,1
34,1204,2587,7,2
35,336,382,8,1
36,1333,2274,9,1
37,1700,2403,9,1
38,2070,2220,9,5
39,2398,3300,9,3
40,2257,1900,9,1
41,1999,1308,10,1
42,1096,1791,10,1
43,206,1753,11,1
44,449,1710,11,1
45,2115,1465,12,1
46,2887,2887,12,1
47,2428,2792,12,1
48,247,1781,13,1
49,2199,1451,14,1
50,2491,1969,14,3
51,1292,3912,15,5
52,239,2097,15,1
53,2111,868,15,1
54,1687,1551,16,6
55,1223,510,16,1
56,2447,2676,16,1
57,2476,1476,16,1
58,3295,2723,16,1
59,27,312,17,6
60,1634,1544,17,1
61,563,1306,17,1
62,1474,3942,19,1
63,1111,580,19,1
64,1048,658,19,2
65,1610,1203,20,1
66,2658,1077,20,1
67,2398,3027,20,1
68,1679,2578,20,1
69,133,537,20,1
70,3091,2741,21,1
71,2900,1693,22,1
72,2379,2769,22,1
73,1282,1598,23,1
74,1576,159,23,1
75,2900,929,23,1
76,2343,1791,24,1
77,2491,1781,24,3
78,447,1784,24,1
79,1238,656,25,1
80,1250,1404,25,1
81,1605,2034,25,5
82,2000,1424,26,1
83,2052,1043,26,1
84,811,1059,28,1
85,1385,1628,28,1
86,2139,1369,28,4
87,1649,403,28,1
88,2530,477,28,1
89,987,1513,29,1
90,915,1243,30,1
91,1403,1966,30,1
92,1452,3942,32,2
93,308,402,32,1
94,1447,1900,32,1
95,654,232,32,1
96,1682,2719,32,1
97,543,2801,32,1
98,2128,2405,32,4
99,1145,1614,32,1
100,2186,1780,33,1
101,874,723,33,1
102,884,726,33,2
103,1700,1499,33,5
104,1204,2602,33,1
105,58,62,34,4
106,1349,212,34,1
107,2491,1840,34,1
108,1892,2055,35,2
109,617,1334,35,1
110,2189,3185,36,1
111,3022,3185,37,1
112,2331,1232,37,1
113,1107,1365,37,3
114,785,12,37,1
115,3196,2767,38,1
116,1783,2511,38,1
117,2947,675,38,1
118,1059,1769,38,1
119,1395,1438,38,1
120,1615,1964,38,5
121,1567,2053,39,2
122,1124,1592,39,1
123,624,800,40,5
124,1495,449,41,1
125,1026,1787,42,4
126,307,1194,42,2
127,72,1181,43,1
128,2768,2370,43,1
129,2075,1559,43,1
130,1258,1732,43,1
131,1692,1223,44,1
132,1135,1622,45,1
133,2815,2780,45,1
134,2471,3942,45,1
135,1288,1701,46,2
136,2185,2620,46,1
137,1791,1428,47,1
138,833,1818,47,1
139,1486,1781,47,1
140,761,1797,48,1
141,62,1236,49,1
142,145,653,49,1
143,2025,1839,49,1
144,1450,1259,49,1
145,2704,2009,50,1
146,466,238,50,1
147,1308,952,50,3
148,1804,1059,51,1
149,2739,2203,51,1
150,2065,2230,51,1
151,1621,2369,52,2
152,1112,973,52,1
153,2868,1942,52,1
154,1369,1116,54,1
155,1580,1700,54,1
156,1644,1336,55,1
157,2660,3048,55,1
158,75,1769,55,2
159,2113,1923,55,2
160,1366,901,56,1
161,644,192,56,1
162,1194,2026,57,1
163,2357,1107,57,1
164,2536,1032,58,2
165,2206,2263,58,1
166,865,728,58,1
167,805,1676,58,2
168,1764,1558,59,1
169,2060,2033,59,1
170,2231,2833,59,1
171,852,1196,59,2
172,2785,1693,60,1
173,811,1330,60,2
174,1307,599,60,2
175,1701,439,60,1
176,2078,3942,61,1
177,2628,2640,62,1
178,1839,682,62,1
179,461,1049,62,1
180,901,232,63,2
181,1065,211,63,1
182,2807,1132,63,1
183,1064,3445,64,1
184,2350,1757,64,2
185,2769,2705,64,1
186,420,1363,65,1
187,2187,2357,65,1
188,1783,1545,65,6
189,1385,901,65,1
190,1446,1811,65,1
191,99,1446,67,1
192,1145,331,67,2
193,1991,2792,67,1
194,2113,1446,67,3
195,2705,2505,68,1
196,892,1043,68,1
197,2289,1524,69,6
198,1423,3942,69,1
199,1978,1234,69,1
200,443,3942,69,1
201,2097,2355,69,1
202,679,1386,70,1
203,1954,1592,70,1
204,2499,1307,70,1
205,321,980,70,1
206,1373,1437,70,1
207,1539,1941,71,1
208,1260,85,72,1
209,1321,1784,72,2
210,1597,1229,72,1
211,1625,2233,72,6
212,2560,2231,72,1
213,638,535,72,1
214,2625,2618,72,1
215,2143,2113,73,1
216,952,2007,74,1
217,2118,970,74,2
218,1332,2831,74,1
219,2792,2025,75,1
220,1864,3942,76,2
221,671,671,76,1
222,207,1655,76,1
223,970,134,76,1
224,2351,2811,76,1
225,447,352,77,1
226,1049,3942,77,1
227,817,901,77,1
228,2502,3977,77,2
229,1769,1435,77,1
230,2386,2121,78,5
231,47,880,78,1
232,116,2096,79,1
233,901,605,79,2
234,1964,1811,80,2
235,31,1801,80,1
236,2919,2499,81,1
237,1410,3942,81,1
238,272,761,81,1
239,544,1181,82,1
240,2514,2558,82,1
241,2210,1737,82,1
242,1997,2559,83,1
243,1004,2466,83,1
244,2057,1769,84,1
245,916,1613,84,1
246,1198,1811,84,1
247,17,730,84,1
248,2185,1621,85,2
249,2397,2401,86,1
250,1704,3456,86,2
251,2829,2183,86,1
252,1635,2386,88,6
253,2359,1199,89,1
254,2009,33,89,1
255,2330,2274,89,1
256,645,299,89,1
257,1881,447,89,3
258,831,1880,89,1
259,765,948,89,2
260,1030,3942,91,1
261,1291,1940,92,1
262,938,1597,92,1
263,2684,2719,92,5
264,1779,1699,93,1
265,1751,2063,93,1
266,2718,2577,94,1
267,2187,1525,94,6
268,1943,4091,94,2
269,1495,1362,94,1
270,1030,1862,96,1
271,2365,3555,96,2
272,1371,349,97,1
273,2384,2484,97,1
274,2000,1525,97,1
275,2516,2037,97,1
276,2394,2769,98,1
277,1288,1288,98,1
278,2404,2756,98,3
279,2264,1965,99,1
280,973,499,99,1
281,891,911,99,5
282,1088,952,99,1
283,2768,1792,99,1
284,1608,1166,100,2
285,1942,1176,100,1
286,3273,2239,100,1
287,628,1132,100,1
288,2733,2887,101,1
289,1124,1793,101,1
290,2301,2372,101,1
291,1080,560,102,1
292,2452,2093,102,5
293,765,560,102,1
294,1332,1356,103,2
295,891,744,103,1
296,1943,2157,103,2
297,1265,2505,104,1
298,3352,2715,104,2
299,1715,60,104,1
300,2311,1809,105,3
301,2017,1698,105,1
302,1075,496,105,1
303,2184,1088,105,4
304,1900,2390,105,6
305,2519,2767,105,1
306,1409,1811,105,1
307,315,645,106,2
308,2466,2898,108,1
309,367,1204,108,3
310,2398,1959,108,2
311,481,2072,109,1
312,901,1722,109,1
313,1013,679,109,1
314,2501,2969,109,1
315,83,370,109,1
316,1059,435,109,3
317,2351,2131,109,1
318,429,1368,109,1
319,1101,269,110,5
320,1663,1326,110,2
321,1801,1043,111,4
322,2944,3762,111,3
323,1700,734,111,2
