ReqID,Oid,Did,ReqTime,Size
1,632,2350,0,2
2,871,2,0,1
3,19,68,0,1
4,1248,2558,0,1
5,746,716,1,1
6,1598,2203,1,1
7,1942,1167,1,1
8,2735,2739,1,1
9,1350,682,1,1
10,1942,2561,2,1
11,1124,777,3,1
12,2330,2195,4,2
13,1281,1811,4,1
14,346,817,4,3
15,2398,2699,4,2
16,710,96,5,1
17,1145,1685,6,1
18,705,1798,7,1
19,1807,2408,7,1
20,770,623,7,1
21,404,2113,8,1
22,2311,2186,8,1
23,1132,1554,8,1
24,2017,1548,8,1
25,1919,3942,9,1
26,2851,1362,9,1
27,2404,1849,10,1
28,2395,2109,10,1
29,628,1004,10,1
30,1351,2142,11,1
31,2112,1610,11,1
32,2738,2062,11,1
33,331,477,12,1
34,2471,2238,12,1
35,1021,932,12,1
36,2404,2452,12,5
37,1424,2000,12,1
38,1205,419,12,1
39,1626,1882,12,1
40,1631,3942,12,1
41,1951,1247,13,1
42,1111,2052,13,1
43,1650,403,13,1
44,1495,2244,13,1
45,1292,1911,13,1
46,2777,2577,13,1
47,1783,1573,14,1
48,1710,3912,14,2
49,1301,624,15,1
50,2561,1432,15,1
51,2000,3912,15,1
52,1283,1005,15,1
53,2555,3942,16,1
54,2602,3136,16,2
55,1844,2237,17,1
56,2189,1435,17,5
57,2822,3159,17,3
58,820,1116,17,3
59,1986,1746,18,1
60,1921,2843,19,1
61,575,284,19,1
62,1695,1797,20,1
63,2484,1880,20,1
64,546,64,20,2
65,47,1348,20,1
66,670,1811,21,1
67,916,1943,21,5
68,2008,1649,22,4
69,2437,2491,23,1
70,446,1811,23,1
71,2078,1059,23,1
72,1904,2188,24,2
73,1551,1907,25,1
74,2372,2239,25,1
75,673,1808,25,2
76,2364,2622,25,1
77,2177,2464,26,1
78,2393,2038,26,1
79,1589,1960,26,1
80,1296,2822,26,1
81,2285,2503,27,1
82,1330,109,27,2
83,459,2307,29,1
84,2110,1569,29,1
85,1747,1451,29,2
86,8,1132,29,1
87,2437,2503,29,1
88,1246,1465,30,1
89,2464,1132,30,1
90,2895,2497,30,1
91,1556,1818,30,1
92,1101,1818,31,5
93,1398,3942,31,1
94,983,610,32,1
95,290,404,32,1
96,2063,2630,32,1
97,1526,873,33,2
98,650,306,33,1
99,2398,2520,33,3
100,1550,1553,33,5
101,585,1225,34,1
102,1260,1888,34,3
103,2239,1940,34,1
104,1460,1781,36,1
105,1134,567,36,1
106,2423,2210,37,1
107,1819,958,37,1
108,575,1188,38,1
109,217,1676,38,1
110,1498,1107,39,2
111,599,1402,39,2
112,2517,2646,40,5
113,1207,1142,40,3
114,2444,2568,42,1
115,1059,1517,42,1
116,1200,694,42,3
117,2201,2291,43,1
118,1460,1670,43,1
119,1685,996,43,1
120,720,1423,44,1
121,1630,668,44,1
122,2769,2769,44,1
