ReqID,Oid,Did,ReqTime,Size
1,2085,1519,0,1
2,980,1648,0,1
3,1621,1332,1,1
4,2356,1587,2,1
5,1427,611,2,2
6,1059,2364,3,1
7,650,1077,3,1
8,2047,3008,3,1
9,1622,770,4,1
10,3036,1626,4,1
11,1722,1233,4,1
12,2829,2532,4,1
13,2320,618,4,2
14,1793,1648,4,1
15,2655,2193,5,5
16,2014,770,5,2
17,421,2038,5,2
18,1545,1667,6,1
19,1284,1700,6,1
20,2359,2418,6,1
21,836,2074,7,1
22,1523,2201,7,1
23,2840,360,7,1
24,2301,1819,8,1
25,1349,311,8,1
26,2497,1562,8,1
27,1169,1021,8,1
28,3021,1154,9,2
29,1508,1572,9,1
30,1385,1682,9,6
31,1308,1622,10,6
32,1268,817,11,1
33,1557,1720,11,1
34,1040,1343,11,2
35,3044,2895,11,1
36,2712,1691,12,1
37,382,758,12,1
38,366,65,12,3
39,1232,1797,13,1
40,1284,1556,13,1
41,1321,1811,14,1
42,1427,1943,15,1
43,1059,270,15,1
44,1793,1454,15,1
45,2239,2720,15,5
46,2384,2345,15,1
47,2211,1679,15,1
48,1372,892,16,1
49,410,3942,16,1
50,885,670,17,1
51,1055,1185,17,5
52,2990,2635,17,1
53,2184,1043,18,1
54,938,1051,18,1
55,1107,546,18,1
56,836,1067,18,1
57,1297,1865,19,1
58,1373,2077,19,1
59,1097,138,19,1
60,2357,2176,19,1
61,1927,2090,20,1
62,2833,2388,21,1
63,2244,2900,21,1
64,2274,1978,21,1
65,1059,696,22,1
66,2484,2246,22,1
67,2033,276,23,1
68,1689,901,23,1
69,2812,2056,23,1
70,2398,2894,23,2
71,1284,2638,23,6
72,1272,1098,24,1
73,2023,2106,24,5
74,311,1427,24,1
75,484,1112,25,1
76,2801,2465,25,2
77,1692,2059,25,1
78,2165,1877,26,1
79,1145,1707,26,1
80,2807,601,27,1
81,322,2583,27,1
82,1473,820,27,4
83,1882,2198,28,1
84,1371,1508,30,1
85,1525,2372,30,5
86,2494,1517,31,5
87,2187,3044,31,1
88,1865,1185,32,1
89,1527,2350,32,1
90,1371,1637,32,1
91,2990,946,33,1
92,2500,2125,33,6
93,2137,1811,33,1
94,2373,1517,34,1
95,1704,2285,34,2
96,2254,2529,34,1
97,2461,1673,34,1
98,1187,2083,34,2
99,2187,1459,36,1
100,1745,1132,37,1
101,1943,916,38,2
102,1749,1552,38,1
103,372,299,38,1
104,1804,1421,38,1
105,1969,748,39,1
106,1793,2473,39,1
107,1059,2383,39,1
108,1741,650,40,1
109,305,193,40,1
110,2384,2427,40,5
111,2612,2169,41,1
112,3091,1424,41,1
113,2301,1700,41,1
114,2794,2232,41,1
115,1790,1521,41,1
116,2914,2201,42,1
117,177,845,42,1
118,2843,2840,42,1
119,243,2152,42,1
120,525,1460,42,1
121,3009,2325,42,1
122,2429,1348,43,1
123,1043,1349,43,1
124,2333,1605,44,1
125,2398,3273,45,1
126,2342,1508,45,1
127,1174,1075,46,1
128,3053,3105,46,1
129,3155,3849,47,1
130,1724,1218,47,1
131,855,1202,48,1
132,650,1058,48,1
133,1668,1874,48,1
134,387,47,49,1
135,745,2409,49,2
136,1214,1245,49,2
137,2388,2755,50,2
